Subclass in Use Report,
Name:,Production 05Aug05
GUID:,BC80EC566DB14C97A5AD7537D72EF82B
Schema:,agile
Server:,//aglnlorrdev15.us.dell.com
VersionDB:,9.3.525.24
Create Time:,08/07/2024 05:24:35 AM PDT

Subclass,Class,Total Objects,Deleted Objects,Query,Criteria,Workflow,Privilege,Role
,,,,(Role ROYALTY ACCOUNTING) CS - Submit MCO,(Role ROYALTY ACCOUNTING) CS - Submit MCO,,(BulkUpdate) Modify MCO,Cancel ECOs
,,,,MCO Packaging CCL DWS,MCO Packaging CCL DWS,,(Role MOD RFV CREATORS) Modify MCO RFV,Role CCC CMA
,,,,MCO GIGABYTE xCO Notification,MCO GIGABYTE xCO Notification,,(Role APCC CMA) CS - MCO WF.R Return,Role BCC NPI
,,,,MCO Packaging CCL Dimension,MCO Packaging CCL Dimension,,(Role APCC CMA) CS - MCO WF.R Cancel,Openmanage Viewer
,,,,MCO Packaging CCL Imaging,MCO Packaging CCL Imaging,,(Role APCC CMA) Mod MCO Global,Role BCC CMA
,,,,"GCS MCO AB CFI DAO Material Auto Routing CCL - APCC,CCC,DAO,GLOBAL","GCS MCO AB CFI DAO Material Auto Routing CCL - APCC,CCC,DAO,GLOBAL",,(Role APCC CMA) CS - MCO WF.R Route,Role APCC NPI
,,,,MCO Packaging CCL Enterprise,MCO Packaging CCL Enterprise,,(BulkUpdate) Create MCO,Role CREATOR
,,,,MCO Packaging CCL Latitude,MCO Packaging CCL Latitude,,(Role ROYALTY ACCOUNTING) Create MCO,OLD_Role BCC CMA & MATS CED
,,,,MCO Packaging CCL Inspiron/Consumer Chrome,MCO Packaging CCL Inspiron/Consumer Chrome,,(Role ROYALTY ACCOUNTING) Modify MCO,Role MOD RFV RELEASERS PGCM
,,,,MCO Packaging CCL Pwrcnnt,MCO Packaging CCL Pwrcnnt,,(Role ROYALTY ACCOUNTING) CS - Release MCO,Role CFI DAO CMA
,,,,MCO Packaging CCL Pwrvault/Dell Storage OEM,MCO Packaging CCL Pwrvault/Dell Storage OEM,,(Role ROYALTY ACCOUNTING) SaveAs MCO,Role Global CFI PM
,,,,MCO Packaging CCL Precision,MCO Packaging CCL Precision,,(Role ROYALTY ACCOUNTING) CS - Submit MCO,Role VIEWER A
,,,,(Role MOD RFV RELEASERS APCC) Modify MCO RFV,(Role MOD RFV RELEASERS APCC) Modify MCO RFV,,Modify GCS WF MCO RFV in Pending,Role MOD RFV RELEASERS PDS AND PMDM
,,,,MCO FOXCONN-KUNSHAN xCO Notification,MCO FOXCONN-KUNSHAN xCO Notification,,CS - GCSWF MCO Pending to Canceled,Role MOD RFV RELEASERS APCC
,,,,MCO Packaging CCL Optiplex,MCO Packaging CCL Optiplex,,(Role APCC CMA) Mod MCO R U/P/S,Role CCC NPI
,,,,(Role MOD RFV RELEASERS BCC) Modify MCO RFV,(Role MOD RFV RELEASERS BCC) Modify MCO RFV,,(Role PG CMA) CS - OLD MCO WF.G Cancel new,Role MOD RFV RELEASERS BCC
,,,,"GCS MCO AB CFI DAO Material Auto Routing CCL - APCC, BCC,CCC,DAO,EMEA,GLOBAL","GCS MCO AB CFI DAO Material Auto Routing CCL - APCC, BCC,CCC,DAO,EMEA,GLOBAL",,(Role APCC CMA) Mod MCO R CIB,Role DAO PROJ PLNR
,,,,(Role MOD RFV RELEASERS CCC) Modify MCO RFV,(Role MOD RFV RELEASERS CCC) Modify MCO RFV,,(Role APCC CMA) Remove App/Obs MCO,Role EMF NPI
,,,,GCS MCO B WW ENV Supplier Auto Routing CCL - DAO,GCS MCO B WW ENV Supplier Auto Routing CCL - DAO,,(Role BCC CMA) Mod MCO R U/P/S,Role PG PROJ PLNR
,,,,"GCS MCO B WW ENV Supplier Auto Routing CCL - APCC, BCC,CCC,DAO,EMEA,GLOBAL","GCS MCO B WW ENV Supplier Auto Routing CCL - APCC, BCC,CCC,DAO,EMEA,GLOBAL",,(Role BCC CMA) CS - MCO WF.R Return,Role VIEWER D
,,,,MCO TRB Review Consumer Notebook,MCO TRB Review Consumer Notebook,,(Role BCC CMA) Mod MCO Global,Role DAO CMA
,,,,(Role BCC CMA) Mod MCO R CIB,(Role BCC CMA) Mod MCO R CIB,,(Role BCC CMA) Mod MCO R CIB,ENTERPRISE Power PJM
,,,,MCO TRB Review Dimension,MCO TRB Review Dimension,,(Role BCC CMA) Remove App/Obs MCO,Role EMF CMA
,,,,MCO TRB Review Optiplex/IoT/Vostro DT,MCO TRB Review Optiplex/IoT/Vostro DT,,(Role BCC CMA) Add App/Obs MCO,Role MOD RFV RELEASERS CCC
,,,,MCO TRB Review Latitude/Mobile Workstations,MCO TRB Review Latitude/Mobile Workstations,,(Role BCC CMA) CS - MCO WF.R Route,Role MOD RFV RELEASERS DAO
,,,,MCO TRB Review Server,MCO TRB Review Server,,(BulkUpdate) CS - EMC MCO WF Pending to TRB,Role MOD RFV RELEASERS EMEA
,,,,(Role APCC CMA) CS - Cancel MCO,(Role APCC CMA) CS - Cancel MCO,,(BulkUpdate) CS - MCO WF Pending to CIB,OpenManage
,,,,MCO TRB Review Precision,MCO TRB Review Precision,,(BulkUpdate) CS - GCS WF - MCO Pending to Released,Role MOD RFV CREATORS
,,,,MCO TRB Review Software,MCO TRB Review Software,,(Role BCC CMA) CS - MCO WF.R Cancel,Role BCC CMA & MATS CED
,,,,(Role PG CMA) Modify MCO,(Role PG CMA) Modify MCO,,(Role CCC CMA) Mod MCO R U/P/S,Role CCC CMA & MATS CED
,,,,MCO TRB Review Dell SP/Image/Display,MCO TRB Review Dell SP/Image/Display,,(Role CCC CMA) Mod MCO Global,Role DAO/BCC CMA & MATS CED
,,,,MCO gg-FOXCONN MEXICO-MGN xCO Notification,MCO gg-FOXCONN MEXICO-MGN xCO Notification,,(Role CCC CMA) CS - MCO WF.R Return,Type B Role - STEPHEN GOULD CORP
,,,,DAO CFI MCO,DAO CFI MCO,,(Role CCC CMA) Mod MCO R CIB,Role APCC CMA & MATS CED
,,,,(Role EMF CMA) Mod MCO R U/P/S,(Role EMF CMA) Mod MCO R U/P/S,,(Role CCC CMA) Remove App/Obs MCO,Role ROYALTY ACCOUNTING
,,,,(Role EMF CMA) Mod MCO Regional,(Role EMF CMA) Mod MCO Regional,,(Role CCC CMA) CS - MCO WF.R Route,Role ECM GWF and EMC GWF Change Status
,,,,(Role PGDS ANALYST) Modify MCO,(Role PGDS ANALYST) Modify MCO,,(Role CCC CMA) Add App/Obs MCO,Role EMF Buyers CED
,,,,(Role EMF CMA) CS - Return MCO,(Role EMF CMA) CS - Return MCO,,(Role CCC CMA) CS - MCO WF.R Cancel,Role EMF CMA & MATS CED
,,,,(Role BCC CMA) Remove App/Obs MCO,(Role BCC CMA) Remove App/Obs MCO,,(Role Kafka) Modify MCO,Role VIEWER F
,,,,(Role BCC CMA) CS - MCO WF.R Cancel,(Role BCC CMA) CS - MCO WF.R Cancel,,Modify MCO-JSON-DAO,DS Form Processing
,,,,(Role BCC CMA) Mod MCO Global,(Role BCC CMA) Mod MCO Global,,(Role DAO CMA) Mod MCO R U/P/S,ACS Specific Role
,,,,(Role CFI DAO CMA) CS - Return MCO,(Role CFI DAO CMA) CS - Return MCO,,Modify MCO-JSON-EMEA,Role VIEWER J 3B
,,,,(Role PG CMA) CS - MCO WF.R Return,(Role PG CMA) CS - MCO WF.R Return,,(Role DAO CMA) CS - MCO WF.R Return,Block Customization Role
,,,,(Role ROYALTY ACCOUNTING) CS - MWF MCO Submit,(Role ROYALTY ACCOUNTING) CS - MWF MCO Submit,,(Role DAO CMA) Mod MCO Global,Type O Role -Exclude Competitor (QISDA)
,,,,(Role PG CMA) Mod MCO WF.G @CIB,(Role PG CMA) Mod MCO WF.G @CIB,,(Role DAO CMA) Mod MCO R CIB,Role BLOCK PJM
,,,,(Role PG CMA) CS - MCO WF.G Route,(Role PG CMA) CS - MCO WF.G Route,,Modify MCO-JSON-APCC,ECLERX CFI
,,,,(Role CCC NPI) CS - Cancel MCO,(Role CCC NPI) CS - Cancel MCO,,(Role DAO CMA) Remove App/Obs MCO,Role MOD RFV RELEASERS CFI CM
,,,,(Role CCC CMA) CS - Route MCO,(Role CCC CMA) CS - Route MCO,,Modify MCO-JSON-BCC,Role SBOM AUTOMATION MODIFY CHANGES
,,,,For CFI MCO Only,For CFI MCO Only,,(Role DAO CMA) Add App/Obs MCO,Role MOD RFV CREATORS GCS WF MCO/ECO
,,,,(Role DAO PROJ PLNR) CS - Cancel MCO,(Role DAO PROJ PLNR) CS - Cancel MCO,,(Role DAO CMA) CS - MCO WF.R Route,WORK WPCO
,,,,(Role CCC CMA) CS - Cancel MCO,(Role CCC CMA) CS - Cancel MCO,,Modify MCO-JSON-CCC,Type D Role
,,,,(Role BCC CMA) Add App/Obs MCO,(Role BCC CMA) Add App/Obs MCO,,(Role DAO CMA) CS - MCO WF.R Cancel,Role POD LABEL USER
,,,,(Role PG CMA) CS - MCO WF.G Cancel,(Role PG CMA) CS - MCO WF.G Cancel,,(Role PG CMA) CS - Cancel MCO,Role COMPONENT ENGINEERING SERIES ONLY
,,,,Upgrade Supplier Access - MCO STEPHEN GOULD CORP,Upgrade Supplier Access - MCO STEPHEN GOULD CORP,,(Role PG CMA) CS - Route OLD DMO MCO,Role Kafka
,,,,(Role BCC CMA) CS - MCO WF.R Return,(Role BCC CMA) CS - MCO WF.R Return,,(Role EMF CMA) Mod MCO R U/P/S,Role PGIT
,,,,(Role PG CMA) Add App/Obs MCO,(Role PG CMA) Add App/Obs MCO,,(Role EMF CMA) Mod MCO Global,Role SBOM CHANGE STATUS
,,,,(Role PG CMA) CS - MCO WF.G Return,(Role PG CMA) CS - MCO WF.G Return,,(Role EMF CMA) CS - MCO WF.R Return,
,,,,(Role BCC CMA) Mod MCO R U/P/S,(Role BCC CMA) Mod MCO R U/P/S,,(Role DS FORM Processing) Create MCO,
,,,,TIA X/A-Rev MCO CL,TIA X/A-Rev MCO CL,,(Role EMF CMA) Mod MCO R CIB,
,,,,MCO Telecom Configuration Mgmt,MCO Telecom Configuration Mgmt,,(Role EMF CMA) Remove App/Obs MCO,
,,,,DS Form is Active,DS Form is Active,,(Role EMF CMA) CS - MCO WF.R Route,
,,,,(Role CCC CMA) CS - Return MCO,(Role CCC CMA) CS - Return MCO,,(Role EMF CMA) Add App/Obs MCO,
,,,,Modify Supplier Access Attribute on Pending MCO,Modify Supplier Access Attribute on Pending MCO,,(Role EMF CMA) CS - MCO WF.R Cancel,
,,,,(Role EMF NPI) CS - MWF MCO Cancel,(Role EMF NPI) CS - MWF MCO Cancel,,(Role BCC NPI) CS - MWF MCO Cancel,
,,,,(Role SU VALIDATOR) CS - MCO WF G. CIB,(Role SU VALIDATOR) CS - MCO WF G. CIB,,(Role DS Form Processing) Modify MCO,
,,,,(Role DAO CMA) CS - Route MCO,(Role DAO CMA) CS - Route MCO,,(Role APCC NPI) CS - MWF MCO Cancel,
,,,,(Role EMF CMA) CS - MCO WF.R Cancel,(Role EMF CMA) CS - MCO WF.R Cancel,,(Role DAO PROJ PLNR) CS - MWF MCO Cancel,
,,,,(Role APCC CMA) CS - Return MCO,(Role APCC CMA) CS - Return MCO,,(Role CCC NPI) CS - MWF MCO Cancel,
,,,,(Role DAO CMA) Mod MCO R U/P/S,(Role DAO CMA) Mod MCO R U/P/S,,(Role PG CMA) CS - OLD MCO WF.G Cancel,
,,,,(Role APCC CMA) Mod MCO Regional,(Role APCC CMA) Mod MCO Regional,,(Role EMF NPI) CS - MWF MCO Cancel,
,,,,(Role BCC NPI) CS - Cancel MCO,(Role BCC NPI) CS - Cancel MCO,,(Role PG CMA) CS - OLD MCO WF Route,
,,,,(Role EMF CMA) CS - MCO WF.R Return,(Role EMF CMA) CS - MCO WF.R Return,,(BulkUpdate) Override MCO,
,,,,SAR X-REV (PjM),SAR X-REV (PjM),,(Role PG CMA) CS - OLD MCO WF.G Return,
,,,,For Class A/B GCS WF MCOs in Pending,For Class A/B GCS WF MCOs in Pending,,(Role PG CMA) CS - OLD MCO WF.R Return,
,,,,SAR A-REV (CMA),SAR A-REV (CMA),,(Role PG CMA) CS - OLD MCO WF.R Cancel,
,,,,(Role EMF CMA) CS - MCO WF.R Route,(Role EMF CMA) CS - MCO WF.R Route,,(Role PG CMA) CS - MCO-B WF.G Cancel,
,,,,(Role CCC CMA) Mod MCO R CIB,(Role CCC CMA) Mod MCO R CIB,,Upgrade Supplier Access - Discover MCO - $UserGroup,
,,,,(Role SU VALIDATOR) CS - DAO/BCC CFI Release MCO,(Role SU VALIDATOR) CS - DAO/BCC CFI Release MCO,,(Role PG PROJ PLNR) CS - MWF MCO Cancel,
,,,,(Role EMF CMA) CS - Route MCO,(Role EMF CMA) CS - Route MCO,,(Role PG CMA) Mod MCO WF.G @CIB,
,,,,(Role CCC CMA) CS - MCO WF.R Return,(Role CCC CMA) CS - MCO WF.R Return,,Upgrade Supplier Access - Read MCO - $UserGroup,
,,,,ECAP Processor Part Class ARev,ECAP Processor Part Class ARev,,(Role CCC NPI) CS - Cancel MCO,
,,,,GCS_MCO_ClassAClassB_XRev,GCS_MCO_ClassAClassB_XRev,,(Role PGDS ANALYST) CS - MWF MCO Return,
,,,,For MCO Only-APCC,For MCO Only-APCC,,(Role PGDS ANALYST) CS - MWF MCO Cancel,
,,,,GCS_MCO_ClassCClassD,GCS_MCO_ClassCClassD,,(Role PGDS ANALYST) CS - MWF MCO Submit,
,,,,For MCO Only-EMEA,For MCO Only-EMEA,,(Role PGDS ANALYST) CS - MWF MCO Route,
,,,,For MCO Only-CCC,For MCO Only-CCC,,(Role ROYALTY ACCOUNTING) CS - MWF MCO Submit,
,,,,MCO CCC Dimension Combo,MCO CCC Dimension Combo,,(Role ROYALTY ACCOUNTING) CS - MWF MCO Release,
,,,,MCO CCC Dimension CIB,MCO CCC Dimension CIB,,(Role SU VALIDATOR) CS - DAO/BCC CFI Release MCO,
,,,,MCO CCC Optiplex Combo,MCO CCC Optiplex Combo,,(Role SU VALIDATOR) CS - MCO WF R. Release,
,,,,GCS_MCO_ClassAClassB_ARev,GCS_MCO_ClassAClassB_ARev,,(Role SU VALIDATOR) CS - MCO WF G. CIB,
,,,,MCO CCC Optiplex CIB,MCO CCC Optiplex CIB,,(BulkUpdate) CS - MCO WF TRB to CIB,
,,,,MCO CCC Portable CIB,MCO CCC Portable CIB,,(Role APCC CMA & MATS CED) Modify DMO MCO APCC CM&MATS C,
,,,,MCO CCC Packaging CCL,MCO CCC Packaging CCL,,(Role SU VALIDATOR) CS - MCO WF D/E Release,
,,,,MCO CCC Precision CIB,MCO CCC Precision CIB,,(BulkUpdate) CS - MCO WF Regional CIB to Released,
,,,,MCO CCC Portable Combo,MCO CCC Portable Combo,,(BulkUpdate) CS - GCS WF - MCO Pending to Implemented Only,
,,,,For MCO Only-DAO,For MCO Only-DAO,,(Role SU VALIDATOR) CS- MCO WF Submit,
,,,,MCO CCC Server CIB,MCO CCC Server CIB,,(Role EMF NPI) CS - Cancel MCO,
,,,,For MCO Only-BCC,For MCO Only-BCC,,(Role SU VALIDATOR) CS - MCO WF R. Reg CIB,
,,,,MCO CCC Precision Combo 1,MCO CCC Precision Combo 1,,(BulkUpdate) CS - EMC MCO WF TRB to CIB,
,,,,MCO CCC Software CIB,MCO CCC Software CIB,,(Role PG PROJ PLNR) CS - Cancel MCO,
,,,,MCO CCC Server Combo,MCO CCC Server Combo,,(Role DAO PROJ PLNR) CS - Cancel MCO,
,,,,(Role ROYALTY ACCOUNTING) CS - MWF MCO Release,(Role ROYALTY ACCOUNTING) CS - MWF MCO Release,,(Role CREATOR) Modify MCO Pending,
,,,,MCO Reg CCL US Client,MCO Reg CCL US Client,,(Role BCC CMA & MATS CED) Modify DMO MCO APCC CM&MATS C,
,,,,MCO Reg CCL US Server,MCO Reg CCL US Server,,(Role PGDS ANALYST) Mod MCO PGDS Fields,
,,,,MCO Reg CCL WW Regulatory Comms Wireless,MCO Reg CCL WW Regulatory Comms Wireless,,Upgrade Supplier Access - Read MCO,
,,,,MCO Reg CCL WW Regulatory Peripheral,MCO Reg CCL WW Regulatory Peripheral,,(Role CCC CMA & MATS CED) Modify DMO MCO APCC CM&MATS C,
,,,,MCO Reg CCL Desktop,MCO Reg CCL Desktop,,(Role MOD RFV RELEASERS GLOBAL ECM) Modify EMC MCO RFV,
,,,,MCO Reg CCL Enterprise,MCO Reg CCL Enterprise,,CS - EMC Global MCO WF Submitted to TRB or Pending,
,,,,MCO Reg CCL Notebook,MCO Reg CCL Notebook,,Modify EMC Program Type MCO ENTERPRISE Power PJM,
,,,,MCO HONG FU TA xCO Notification,MCO HONG FU TA xCO Notification,,(Role BCC NPI) CS - Cancel MCO,
,,,,MCO Reg CCL WW Regulatory Power,MCO Reg CCL WW Regulatory Power,,"CS - EMC MCO WF Route Pending, Submitted, TRB to Cancel",
,,,,MCO INVENTEC xCO Notification,MCO INVENTEC xCO Notification,,(Role DAO/BCC CMA & MATS CED) Modify DMO MCO APCC CM&MATS C,
,,,,(Role BCC CMA) Mod MCO Regional,(Role BCC CMA) Mod MCO Regional,,(Role BCC CMA) CS - Route MCO,
,,,,MCO RMN CCL,MCO RMN CCL,,(Role BCC CMA) CS - Cancel MCO,
,,,,(Role APCC NPI) CS - MWF MCO Cancel,(Role APCC NPI) CS - MWF MCO Cancel,,(Role PG PROJ PLNR) CS - MWF Return,
,,,,MCO Reg CCL Optiplex EMC,MCO Reg CCL Optiplex EMC,,CS - MCO Submit to TRB - SWB,
,,,,MCO Flextronics xCO notification,MCO Flextronics xCO notification,,Subscribe to MCO,
,,,,MCO Reg CCL Dimension EMC,MCO Reg CCL Dimension EMC,,(Role BCC CMA) CS - Return MCO,
,,,,MCO Reg CCL DWS EMC,MCO Reg CCL DWS EMC,,(Role PG CMA) CS - MCO.G WF Submitted - Release Fix,
,,,,MCO Reg CCL Precision EMC,MCO Reg CCL Precision EMC,,Modify MCO SWB,
,,,,MCO Reg CCL Pwrapps EMC,MCO Reg CCL Pwrapps EMC,,(Role BCC CMA) Mod MCO Regional,
,,,,MCO Reg CCL Enterprise EMC,MCO Reg CCL Enterprise EMC,,(Role EMF CMA & MATS CED) Modify DMO MCO APCC CM&MATS C,
,,,,MCO Reg CCL CFI ICC,MCO Reg CCL CFI ICC,,Modify EMC MCO RFV PDS AND PMDM CM,
,,,,MCO Reg CCL Pwrvault EMC,MCO Reg CCL Pwrvault EMC,,(Role PG CMA) Add App/Obs MCO,
,,,,MCO Reg CCL Pwrcnnt EMC,MCO Reg CCL Pwrcnnt EMC,,(Role SUPERUSER) CS - Return MfrOrder - MCO Workflow,
,,,,MCO Reg CCL Latitude EMC,MCO Reg CCL Latitude EMC,,(Role MOD RFV RELEASERS APCC) Modify MCO RFV,
,,,,MCO Reg CCL Inspiron EMC,MCO Reg CCL Inspiron EMC,,(Role PG CMA) CS - MCO-B WF.G Return,
,,,,MCO Reg CCL CFI BCC DAO EMEA,MCO Reg CCL CFI BCC DAO EMEA,,(Role CREATOR) Mod MCO P3 Supplier,
,,,,MCO Reg CCL Optiplex PS,MCO Reg CCL Optiplex PS,,(Role PG CMA) Remove App/Obs MCO,
,,,,MCO Reg CCL CFI CCC2/CCC4,MCO Reg CCL CFI CCC2/CCC4,,(Role MOD RFV RELEASERS BCC) Modify MCO RFV,
,,,,MCO Reg CCL Dimension PS,MCO Reg CCL Dimension PS,,(Role APCC CMA) CS - Return MCO,
,,,,MCO Reg CCL DWS PS,MCO Reg CCL DWS PS,,(Role MOD RFV RELEASERS CCC) Modify MCO RFV,
,,,,MCO Reg CCL Precision PS,MCO Reg CCL Precision PS,,(Role MOD RFV RELEASERS DAO) Modify MCO RFV,
,,,,MCO Reg CCL Pwrapps PS,MCO Reg CCL Pwrapps PS,,Read MCO,
,,,,MCO Reg CCL Enterprise PS,MCO Reg CCL Enterprise PS,,(Role CCC CMA) CS - Return MCO,
,,,,MCO Reg CCL Pwrvault PS,MCO Reg CCL Pwrvault PS,,(Role MOD RFV RELEASERS EMEA) Modify MCO RFV,
,,,,MCO Reg CCL CFI APCC,MCO Reg CCL CFI APCC,,(Role DAO CMA) CS - Return MCO,
,,,,MCO Reg CCL Pwrcnnt PS,MCO Reg CCL Pwrcnnt PS,,(Role CCC CMA) CS - Cancel MCO,
,,,,MCO Reg CCL CFI CCC6,MCO Reg CCL CFI CCC6,,(Role CCC CMA) CS - Route MCO,
,,,,MCO Reg CCL Peripheral,MCO Reg CCL Peripheral,,(Role PGDS ANALYST) Modify MCO,
,,,,MCO Reg CCL Optiplex EMC/PS,MCO Reg CCL Optiplex EMC/PS,,(Role EMF CMA) CS - Return MCO,
,,,,MCO Reg CCL Dimension EMC/PS,MCO Reg CCL Dimension EMC/PS,,(Role PG CMA) CS - Return OLD DMO MCO,
,,,,MCO Reg CCL DWS EMC/PS,MCO Reg CCL DWS EMC/PS,,(Role PGDS ANALYST) CS - Cancel MCO,
,,,,MCO Reg CCL Precision EMC/PS,MCO Reg CCL Precision EMC/PS,,(Role PGDS ANALYST) CS - Return MCO,
,,,,MCO Reg CCL Pwrapps EMC/PS,MCO Reg CCL Pwrapps EMC/PS,,(Role PGDS ANALYST) CS - Route MCO,
,,,,MCO Reg CCL Enterprise EMC/PS,MCO Reg CCL Enterprise EMC/PS,,(Role PGDS ANALYST) CS - Submit MCO,
,,,,MCO Reg CCL Pwrvault EMC/PS,MCO Reg CCL Pwrvault EMC/PS,,(Role CFI DAO CMA) Mod MCO Regional,
,,,,(Role SU VALIDATOR) CS - MCO WF D/E Release,(Role SU VALIDATOR) CS - MCO WF D/E Release,,(Role CFI DAO CMA) CS - Return MCO,
,,,,MCO Reg CCL Pwrcnnt EMC/PS,MCO Reg CCL Pwrcnnt EMC/PS,,(BulkUpdate) CS - EMC MCO WF Pending to Released - MCO D,
,,,,MCO Reg CCL Latitude EMC/PS,MCO Reg CCL Latitude EMC/PS,,(Role CCC CMA) Mod MCO Regional,
,,,,(Role CFI DAO CMA) Mod MCO Regional,(Role CFI DAO CMA) Mod MCO Regional,,(BulkUpdate) CS - MCO WF Pending to Released - MCO D,
,,,,MCO Reg CCL Inspiron EMC/PS,MCO Reg CCL Inspiron EMC/PS,,(BulkUpdate) CS - MCO WF Pending to Regional CIB,
,,,,MCO Reg CCL Latitude PS,MCO Reg CCL Latitude PS,,(Role DAO CMA) CS - Route MCO,
,,,,MCO Reg CCL Inspiron PS,MCO Reg CCL Inspiron PS,,(Role CFI DAO CMA) CS - Route MCO,
,,,,Celestica Notify MCO,Celestica Notify MCO,,(Role DAO CMA) CS - Cancel MCO,
,,,,MCO DAO Reg Dimension EMC/PS,MCO DAO Reg Dimension EMC/PS,,(Role FG BOM Config) CS - FGCO MCO WF_Submit_CIB,
,,,,MCO DAO Reg Dimension EMC,MCO DAO Reg Dimension EMC,,Modify MCO Submit to Block,
,,,,MCO DAO Reg DWS EMC,MCO DAO Reg DWS EMC,,SBOM SUPERUSER Modify MCO,
,,,,MCO DAO Reg Dimension PS,MCO DAO Reg Dimension PS,,(Role FG BOM IMPLEMENTOR) FGCO MCO WF_CIB_implemented,
,,,,MCO DAO Reg DWS PS,MCO DAO Reg DWS PS,,(Role FG BOM Config) SaveAs MCO,
,,,,MCO DAO Reg DWS EMC/PS,MCO DAO Reg DWS EMC/PS,,(Role FG BOM Config) Read MCO,
,,,,MCO DAO Reg Enterprise EMC/PS,MCO DAO Reg Enterprise EMC/PS,,(Role FG BOM Config) CS - FGCO MCO WF_Pending_Submit_Cancel,
,,,,MCO DAO Reg Enterprise EMC,MCO DAO Reg Enterprise EMC,,(Role FG BOM Config) Modify MCO FGCO Pending,
,,,,(Role APCC CMA) Add App/Obs MCO,(Role APCC CMA) Add App/Obs MCO,,(Role DAO CMA) Mod MCO Regional,
,,,,(Role CREATOR) Modify MCO Pending,(Role CREATOR) Modify MCO Pending,,SBOM SuperUser Change Status EMC MCO WF,
,,,,MCO DAO Reg Inspiron EMC,MCO DAO Reg Inspiron EMC,,,
,,,,(Role APCC CMA) CS - MCO WF.R Cancel,(Role APCC CMA) CS - MCO WF.R Cancel,,,
,,,,MCO DAO Reg Enterprise PS,MCO DAO Reg Enterprise PS,,,
,,,,MCO DAO Reg Inspiron PS,MCO DAO Reg Inspiron PS,,,
,,,,MCO HONGF xCO Notification,MCO HONGF xCO Notification,,,
,,,,MCO DAO Reg Inspiron EMC/PS,MCO DAO Reg Inspiron EMC/PS,,,
,,,,MCO DAO Reg Latitude EMC/PS,MCO DAO Reg Latitude EMC/PS,,,
,,,,MCO DAO Reg Latitude EMC,MCO DAO Reg Latitude EMC,,,
,,,,(Role APCC CMA) Mod MCO R CIB,(Role APCC CMA) Mod MCO R CIB,,,
,,,,MCO DAO Reg Optiplex EMC,MCO DAO Reg Optiplex EMC,,,
,,,,MCO DAO Reg Latitude PS,MCO DAO Reg Latitude PS,,,
,,,,MCO DAO Reg Optiplex PS,MCO DAO Reg Optiplex PS,,,
,,,,MCO DAO Reg Optiplex EMC/PS,MCO DAO Reg Optiplex EMC/PS,,,
,,,,MCO DAO Reg Precision EMC,MCO DAO Reg Precision EMC,,,
,,,,MCO CHANGJIANG xCO Notification,MCO CHANGJIANG xCO Notification,,,
,,,,MCO DAO Reg Peripheral,MCO DAO Reg Peripheral,,,
,,,,MCO DAO Reg Precision PS,MCO DAO Reg Precision PS,,,
,,,,MCO DAO Reg Precision EMC/PS,MCO DAO Reg Precision EMC/PS,,,
,,,,MCO DAO Reg Pwrapps EMC/PS,MCO DAO Reg Pwrapps EMC/PS,,,
,,,,MCO DAO Reg Pwrapps EMC,MCO DAO Reg Pwrapps EMC,,,
,,,,MCO DAO Reg Pwrcnnt EMC,MCO DAO Reg Pwrcnnt EMC,,,
,,,,MCO DAO Reg Pwrapps PS,MCO DAO Reg Pwrapps PS,,,
,,,,MCO DAO Reg Pwrcnnt PS,MCO DAO Reg Pwrcnnt PS,,,
,,,,MCO DAO Reg Pwrcnnt EMC/PS,MCO DAO Reg Pwrcnnt EMC/PS,,,
,,,,MCO DAO Reg Pwrvault EMC/PS,MCO DAO Reg Pwrvault EMC/PS,,,
,,,,MCO DAO Reg Pwrvault EMC,MCO DAO Reg Pwrvault EMC,,,
,,,,MCO DAO Reg Pwrvault PS,MCO DAO Reg Pwrvault PS,,,
,,,,(Role APCC NPI) CS - Cancel MCO,(Role APCC NPI) CS - Cancel MCO,,,
,,,,(Role BCC CMA) CS - MCO WF.R Route,(Role BCC CMA) CS - MCO WF.R Route,,,
,,,,MCO Reg CCL WW Tablet Regulatory,MCO Reg CCL WW Tablet Regulatory,,,
,,,,MCO WISTRONZHO xCO Notification,MCO WISTRONZHO xCO Notification,,,
,,,,MCO Workflow Generic Required Fields,MCO Workflow Generic Required Fields,,,
,,,,MCO Part Required Fields,MCO Part Required Fields,,,
,,,,(Role DAO CMA) CS - Return MCO,(Role DAO CMA) CS - Return MCO,,,
,,,,MCO Part Generic Required Fields,MCO Part Generic Required Fields,,,
,,,,(Role EMF CMA) Mod MCO R CIB,(Role EMF CMA) Mod MCO R CIB,,,
,,,,(Role EMF CMA) Remove App/Obs MCO,(Role EMF CMA) Remove App/Obs MCO,,,
,,,,Upgrade Supplier Access MCO $UserGroup,Upgrade Supplier Access MCO $UserGroup,,,
,,,,(Role MOD RFV RELEASERS GLOBAL ECM) Modify ECM MCO RFV,(Role MOD RFV RELEASERS GLOBAL ECM) Modify ECM MCO RFV,,,
,,,,(Role CCC CMA) Mod MCO Regional,(Role CCC CMA) Mod MCO Regional,,,
,,,,CS EMC Global MCO WF Submitted to TRB,CS EMC Global MCO WF Submitted to TRB,,,
,,,,Modify EMC Program Type MCO ENTERPRISE Power PJM,Modify EMC Program Type MCO ENTERPRISE Power PJM,,,
