Subclass in Use Report,
Name:,Production 05Aug05
GUID:,BC80EC566DB14C97A5AD7537D72EF82B
Schema:,agile
Server:,//aglnlorrdev15.us.dell.com
VersionDB:,9.3.525.24
Create Time:,08/07/2024 05:24:35 AM PDT

Subclass,Class,Total Objects,Deleted Objects,Query,Criteria,Workflow,Privilege,Role
,,,,(Role VIEWER C) GetFile Badges,(Role VIEWER C) GetFile Badges,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Badges,Role Check In Check Out
,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Badges,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Badges,,(Role VIEWER K 3D1) GetFile Badges,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,(Role VIEWER G) GetFile Badges,(Role VIEWER G) GetFile Badges,,Checkin-Badges,Role VIEWER F
,,,,(Role VIEWER K 3D1) GetFile Badges,(Role VIEWER K 3D1) GetFile Badges,,(Role READ/DISCOVER P3) Read P3 Badges,Role CREATOR
,,,,For Badges Only,For Badges Only,,Upgrade Supplier Access - Modify Badges,Role READ/DISCOVER P3
,,,,,,,Create-Badges,Role MOD PARTS P3 PROJ PLNR
,,,,,,,(Role VIEWER D) GetFile Badges,Role VIEWER J 3B
,,,,,,,Modify Attachments-Badges,Role VIEWER H
,,,,,,,(Role VIEWER F) GetFile Badges,Role VIEWER C
,,,,,,,(Role VIEWER J 3B) GetFile Badges,Role PGDS ANALYST
,,,,,,,,Role VIEWER G
,,,,,,,,Role VIEWER A
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
"Base,Non-System",Parts,35694,0,"(Role VIEWER G) GetFile Base,Non-System","(Role VIEWER G) GetFile Base,Non-System",,"(Role VIEWER C) GetFile Base,Non-System",Type O Role
,,,,"(Role VIEWER C) GetFile Base,Non-System","(Role VIEWER C) GetFile Base,Non-System",,"(Role VIEWER I) GetFile Base,Non-System",Role VIEWER E
,,,,"All Parts-Base,Non-System (Subclass Access)","All Parts-Base,Non-System (Subclass Access)",,"(Role MOD PARTS P3 CMA'S) Mod P3 Base,Non-System","Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,"(Role VIEWER F) GetFile Base,Non-System","(Role VIEWER F) GetFile Base,Non-System",,"Checkout-Base,Non-System",Create All Items (Subclass Level)
,,,,"(Role MOD PARTS P3 TAA IFF PREM) Mod P3 TAA Base,Non-System","(Role MOD PARTS P3 TAA IFF PREM) Mod P3 TAA Base,Non-System",,"(Role VIEWER E) GetFile Base,Non-System",Role DELL LEGAL
,,,,"(Role VIEWER D) GetFile Base,Non-System","(Role VIEWER D) GetFile Base,Non-System",,"(Role VIEWER G) GetFile Base,Non-System",Role MOD PARTS P3 PG Regulatory
,,,,"(Role VIEWER J 3B) GetFile Base,Non-System","(Role VIEWER J 3B) GetFile Base,Non-System",,"Create-Base,Non-System",Role VIEWER I
,,,,"(Role VIEWER I) GetFile Base,Non-System","(Role VIEWER I) GetFile Base,Non-System",,"(Role VIEWER K 3D1) GetFile Base,Non-System",Role DOCUMENT SUBMITTER
